iter	Passed	Remaining
0	171	85484
1	195	48628
2	216	35871
3	237	29419
4	256	25435
5	276	22788
6	296	20893
7	316	19481
8	336	18382
9	357	17539
10	379	16864
11	400	16290
12	420	15734
13	440	15280
14	459	14862
15	478	14480
16	498	14165
17	518	13883
18	538	13628
19	558	13401
20	580	13238
21	600	13039
22	623	12929
23	643	12770
24	664	12620
25	683	12465
26	703	12328
27	724	12206
28	744	12084
29	763	11964
30	783	11859
31	803	11756
32	824	11663
33	844	11574
34	864	11482
35	884	11393
36	905	11324
37	926	11265
38	947	11200
39	968	11134
40	988	11071
41	1009	11006
42	1030	10946
43	1049	10878
44	1070	10824
45	1090	10759
46	1113	10731
47	1132	10668
48	1152	10606
49	1171	10544
50	1191	10492
51	1211	10441
52	1232	10394
53	1252	10345
54	1272	10298
55	1292	10250
56	1311	10195
57	1330	10141
58	1350	10091
59	1368	10038
60	1388	9992
61	1407	9945
62	1427	9900
63	1459	9943
64	1479	9898
65	1498	9852
66	1518	9814
67	1538	9776
68	1568	9799
69	1589	9761
70	1608	9716
71	1630	9695
72	1650	9652
73	1669	9609
74	1688	9569
75	1710	9541
76	1755	9642
77	1774	9598
78	1793	9555
79	1811	9512
80	1830	9469
81	1849	9426
82	1867	9384
83	1886	9343
84	1905	9303
85	1924	9263
86	1943	9225
87	1962	9186
88	1991	9196
89	2010	9161
90	2030	9125
91	2050	9094
92	2071	9064
93	2090	9027
94	2109	8992
95	2131	8970
96	2150	8935
97	2170	8902
98	2188	8866
99	2208	8835
100	2228	8803
101	2248	8773
102	2269	8747
103	2290	8719
104	2309	8689
105	2330	8664
106	2351	8637
107	2371	8607
108	2391	8578
109	2411	8549
110	2430	8517
111	2449	8485
112	2468	8452
113	2488	8425
114	2508	8396
115	2527	8367
116	2548	8341
117	2568	8313
118	2587	8283
119	2606	8253
120	2625	8222
121	2648	8204
122	2667	8175
123	2686	8146
124	2705	8115
125	2725	8088
126	2744	8059
127	2763	8030
128	2782	8002
129	2801	7973
130	2820	7945
131	2840	7917
132	2859	7890
133	2877	7858
134	2896	7831
135	2915	7804
136	2935	7778
137	2954	7750
138	2973	7722
139	2992	7694
140	3011	7667
141	3030	7640
142	3049	7613
143	3069	7587
144	3089	7562
145	3108	7536
146	3127	7509
147	3149	7490
148	3168	7464
149	3186	7435
150	3204	7406
151	3224	7381
152	3243	7356
153	3262	7329
154	3281	7304
155	3301	7280
156	3319	7253
157	3338	7226
158	3358	7202
159	3377	7176
160	3397	7152
161	3415	7126
162	3435	7102
163	3454	7078
164	3473	7053
165	3492	7027
166	3512	7003
167	3531	6979
168	3550	6954
169	3569	6928
170	3588	6903
171	3607	6879
172	3628	6858
173	3649	6837
174	3668	6813
175	3687	6788
176	3706	6763
177	3725	6739
178	3744	6715
179	3763	6691
180	3783	6667
181	3802	6644
182	3821	6620
183	3841	6597
184	3859	6571
185	3879	6549
186	3898	6525
187	3917	6501
188	3936	6477
189	3954	6452
190	3971	6425
191	3991	6403
192	4009	6377
193	4028	6353
194	4047	6331
195	4066	6307
196	4084	6282
197	4103	6258
198	4121	6234
199	4140	6210
200	4161	6190
201	4180	6167
202	4200	6144
203	4220	6123
204	4239	6100
205	4258	6077
206	4277	6054
207	4296	6032
208	4316	6010
209	4336	5988
210	4354	5964
211	4373	5942
212	4392	5918
213	4410	5895
214	4429	5871
215	4447	5848
216	4465	5823
217	4484	5801
218	4504	5779
219	4522	5755
220	4540	5732
221	4558	5708
222	4577	5685
223	4596	5663
224	4616	5642
225	4635	5620
226	4654	5597
227	4675	5578
228	4694	5555
229	4712	5532
230	4732	5510
231	4752	5489
232	4771	5468
233	4790	5446
234	4808	5422
235	4827	5399
236	4845	5377
237	4863	5354
238	4881	5330
239	4899	5307
240	4917	5284
241	4936	5262
242	4954	5240
243	4973	5218
244	4991	5195
245	5009	5172
246	5029	5151
247	5047	5128
248	5065	5106
249	5084	5084
250	5102	5061
251	5120	5039
252	5138	5016
253	5156	4994
254	5177	4974
255	5195	4951
256	5213	4929
257	5232	4907
258	5250	4885
259	5269	4863
260	5287	4842
261	5307	4821
262	5326	4800
263	5344	4778
264	5362	4755
265	5380	4733
266	5400	4712
267	5418	4690
268	5436	4668
269	5454	4646
270	5472	4624
271	5490	4602
272	5508	4580
273	5527	4558
274	5545	4536
275	5562	4514
276	5580	4492
277	5599	4471
278	5617	4449
279	5635	4427
280	5653	4406
281	5672	4385
282	5693	4365
283	5712	4344
284	5730	4323
285	5749	4301
286	5766	4279
287	5784	4258
288	5802	4236
289	5821	4215
290	5839	4194
291	5857	4172
292	5876	4151
293	5894	4130
294	5912	4109
295	5930	4087
296	5948	4066
297	5966	4044
298	5985	4023
299	6003	4002
300	6021	3980
301	6041	3960
302	6060	3940
303	6078	3919
304	6097	3898
305	6115	3877
306	6133	3856
307	6151	3834
308	6169	3813
309	6187	3792
310	6209	3773
311	6227	3752
312	6245	3731
313	6263	3710
314	6282	3689
315	6300	3668
316	6320	3648
317	6338	3627
318	6356	3606
319	6375	3586
320	6395	3566
321	6413	3545
322	6431	3524
323	6449	3503
324	6467	3482
325	6485	3461
326	6504	3441
327	6522	3420
328	6540	3399
329	6558	3378
330	6577	3358
331	6595	3337
332	6613	3316
333	6631	3295
334	6649	3275
335	6667	3254
336	6686	3234
337	6707	3214
338	6725	3193
339	6743	3173
340	6762	3153
341	6780	3132
342	6798	3111
343	6816	3091
344	6835	3070
345	6853	3050
346	6872	3030
347	6890	3009
348	6908	2989
349	6927	2968
350	6945	2948
351	6964	2928
352	6982	2907
353	6999	2886
354	7018	2866
355	7036	2846
356	7053	2825
357	7071	2805
358	7090	2784
359	7109	2764
360	7127	2744
361	7146	2724
362	7164	2703
363	7182	2683
364	7201	2663
365	7222	2644
366	7240	2623
367	7258	2603
368	7276	2583
369	7295	2563
370	7313	2542
371	7332	2523
372	7350	2502
373	7369	2482
374	7387	2462
375	7406	2442
376	7424	2422
377	7442	2402
378	7460	2381
379	7480	2362
380	7498	2341
381	7516	2321
382	7534	2301
383	7551	2281
384	7570	2261
385	7588	2241
386	7606	2220
387	7624	2200
388	7642	2180
389	7660	2160
390	7679	2140
391	7697	2120
392	7715	2100
393	7736	2081
394	7755	2061
395	7774	2041
396	7792	2021
397	7810	2001
398	7828	1981
399	7847	1961
400	7865	1941
401	7885	1922
402	7903	1902
403	7922	1882
404	7940	1862
405	7958	1842
406	7976	1822
407	7994	1802
408	8013	1782
409	8032	1763
410	8051	1743
411	8069	1723
412	8087	1703
413	8106	1684
414	8125	1664
415	8143	1644
416	8161	1624
417	8179	1604
418	8198	1584
419	8217	1565
420	8238	1545
421	8256	1526
422	8274	1506
423	8293	1486
424	8311	1466
425	8331	1447
426	8349	1427
427	8367	1407
428	8385	1387
429	8404	1368
430	8422	1348
431	8440	1328
432	8458	1308
